Temperature [degC],Current [A],SoC,Voltage [V],Local ECM resistance [Ohm],Time [h],Cell temperature [degC]
15.0,3.0,0.5131113099744378,3.6570083233661554,0.025252991423383886,2.6267593643194544,16.565743072387136
15.0,3.0,0.5031113099744379,3.6515145243354334,0.025213056280395385,2.643426030986121,16.568314249302944
15.0,3.0,0.4931113099744379,3.64616194749129,0.02518051679433375,2.6600926976527877,16.5708943655672
15.0,3.0,0.4831113099744377,3.6409471169111196,0.025154861050997734,2.6767593643194547,16.5735034117684
15.0,3.0,0.47311130997443773,3.6358675448218345,0.02513594448065633,2.6934260309861213,16.576151809233693
15.0,3.0,0.4631113099744378,3.6309210784829538,0.02512378271331291,2.710092697652788,16.578880194636383
15.0,3.0,0.4531113099744378,3.6261054020633847,0.025118525178208895,2.7267593643194545,16.581668663673497
15.0,3.0,0.4431113099744378,3.621418124808996,0.025120337398782645,2.743426030986121,16.58454803070191
15.0,3.0,0.43311130997443786,3.6168565732881395,0.02512942841023354,2.7600926976527878,16.587537182735844
15.0,3.0,0.4231113099744379,3.6124177022727757,0.025146059220830498,2.7767593643194544,16.59062114023061
15.0,3.0,0.41311130997443796,3.6080982455341992,0.025170480108393473,2.793426030986121,16.593852194688793
15.0,3.0,0.4031113099744377,3.6038945256449173,0.025202984649770183,2.810092697652788,16.597214183480958
15.0,3.0,0.3931113099744378,3.5998024338372456,0.025243906498778536,2.8267593643194546,16.60074000266519
15.0,3.0,0.3831113099744378,3.59581737095564,0.02529362454702344,2.8434260309861212,16.60444513886
15.0,3.0,0.37311130997443787,3.5919340821297205,0.025352591754541187,2.860092697652788,16.608354068951996
15.0,3.0,0.36311130997443786,3.58814622278162,0.025421426562549716,2.8767593643194544,16.61245946478141
15.0,3.0,0.35311130997443785,3.584445731605269,0.025501008111694496,2.893426030986121,16.616805718821183
15.0,3.0,0.34311130997443784,3.5808208871730676,0.025592875615189154,2.9100926976527877,16.621374544957803
15.0,3.0,0.3331113099744376,3.577252737558258,0.025699874428699733,2.9267593643194547,16.626188122746953
15.0,3.0,0.3231113099744376,3.5737072705083657,0.025827590954887143,2.9434260309861213,16.631336005250716
15.0,3.0,0.3131113099744376,3.5701204393505397,0.025986911751458543,2.960092697652788,16.636738499864407
15.0,3.0,0.3031113099744376,3.5663787044675788,0.02619598939828638,2.9767593643194545,16.64243962615717
15.0,3.0,0.2931113099744376,3.562320193908194,0.026473679301845333,2.993426030986121,16.648467131827374
15.0,3.0,0.2831113099744378,3.5578252389323186,0.026809016035446533,3.0100926976527878,16.654846876978752
15.0,3.0,0.2731113099744378,3.5529587913712537,0.027139830388870724,3.0267593643194544,16.661603584075976
